play_id,game_date,home_team,away_team,play_fileName
914,00:00.0,DAL,PHI,003_029
936,00:00.0,DAL,PHI,NULL
953,00:00.0,DAL,PHI,003_030
975,00:00.0,DAL,PHI,NULL
995,00:00.0,DAL,PHI,003_031
1016,00:00.0,DAL,PHI,NULL
1033,00:00.0,DAL,PHI,003_032
1054,00:00.0,DAL,PHI,003_033
1076,00:00.0,DAL,PHI,NULL
1095,00:00.0,DAL,PHI,003_034
1117,00:00.0,DAL,PHI,003_035
1138,00:00.0,DAL,PHI,003_036
1160,00:00.0,DAL,PHI,NULL
1185,00:00.0,DAL,PHI,003_037
1206,00:00.0,DAL,PHI,003_038
1228,00:00.0,DAL,PHI,003_039
1250,00:00.0,DAL,PHI,NULL
1269,00:00.0,DAL,PHI,003_040
1298,00:00.0,DAL,PHI,003_041
1319,00:00.0,DAL,PHI,003_042
1341,00:00.0,DAL,PHI,NULL
1360,00:00.0,DAL,PHI,003_043
1379,00:00.0,DAL,PHI,003_044
1403,00:00.0,DAL,PHI,003_045
1429,00:00.0,DAL,PHI,003_046
1451,00:00.0,DAL,PHI,003_047
1477,00:00.0,DAL,PHI,003_048
1498,00:00.0,DAL,PHI,NULL
1517,00:00.0,DAL,PHI,003_049
1538,00:00.0,DAL,PHI,003_050
1559,00:00.0,DAL,PHI,003_051
1587,00:00.0,DAL,PHI,003_052
1608,00:00.0,DAL,PHI,003_053
1632,00:00.0,DAL,PHI,003_054
1653,00:00.0,DAL,PHI,NULL
1670,00:00.0,DAL,PHI,NULL
1698,00:00.0,DAL,PHI,003_055
1719,00:00.0,DAL,PHI,003_056
1743,00:00.0,DAL,PHI,003_057
1764,00:00.0,DAL,PHI,NULL
1781,00:00.0,DAL,PHI,003_058
1813,00:00.0,DAL,PHI,003_059
1834,00:00.0,DAL,PHI,003_060
1863,00:00.0,DAL,PHI,003_061
1885,00:00.0,DAL,PHI,NULL
1904,00:00.0,DAL,PHI,NULL
1919,00:00.0,DAL,PHI,003_062
1941,00:00.0,DAL,PHI,003_063
1965,00:00.0,DAL,PHI,003_064
1987,00:00.0,DAL,PHI,NULL
2012,00:00.0,DAL,PHI,NULL
2033,00:00.0,DAL,PHI,NULL
2050,00:00.0,DAL,PHI,NULL
2065,00:00.0,DAL,PHI,003_065
2086,00:00.0,DAL,PHI,003_066
2107,00:00.0,DAL,PHI,003_067
2131,00:00.0,DAL,PHI,003_068
2153,00:00.0,DAL,PHI,003_069
2178,00:00.0,DAL,PHI,003_070
2206,00:00.0,DAL,PHI,003_071
2227,00:00.0,DAL,PHI,003_072
2249,00:00.0,DAL,PHI,003_073
2263,00:00.0,DAL,PHI,NULL
2290,00:00.0,DAL,PHI,003_074
2316,00:00.0,DAL,PHI,003_075
2337,00:00.0,DAL,PHI,003_076
2358,00:00.0,DAL,PHI,003_077
2382,00:00.0,DAL,PHI,003_078
2404,00:00.0,DAL,PHI,NULL
2423,00:00.0,DAL,PHI,003_079
